,user_id,event_id,rating
1,1,46,2
2,1,836,1
3,1,602,4
4,1,66,2
5,1,692,3
6,1,360,1
7,1,162,3
8,1,447,3
9,1,297,5
10,1,668,5
11,1,944,5
12,1,912,4
13,1,283,2
14,1,481,2
15,1,991,5
16,1,80,5
17,1,169,5
18,1,816,3
19,1,411,2
20,1,200,3
21,1,276,5
22,1,164,5
23,1,381,4
24,1,726,2
25,2,343,2
26,2,67,3
27,2,499,2
28,2,40,1
29,2,921,3
30,2,397,5
31,2,936,3
32,2,66,5
33,2,895,5
34,2,32,3
35,2,388,2
36,2,124,4
37,2,445,1
38,2,518,5
39,2,476,2
40,2,943,1
41,2,974,5
42,2,414,1
43,2,530,4
44,2,174,1
45,2,669,2
46,2,24,3
47,2,242,5
48,2,781,3
49,2,971,5
50,2,699,4
51,2,339,4
52,2,603,5
53,2,31,5
54,2,724,5
55,2,321,5
56,2,244,5
57,3,814,2
58,3,566,4
59,3,18,5
60,3,486,4
61,3,591,3
62,3,145,2
63,3,951,0
64,3,55,3
65,3,62,5
66,3,83,4
67,3,127,5
68,3,863,5
69,3,947,5
70,3,852,2
71,3,242,5
72,3,296,2
73,3,330,5
74,3,221,5
75,3,553,2
76,3,839,4
77,3,452,5
78,3,709,5
79,3,483,5
80,3,436,4
81,3,685,2
82,3,482,5
83,3,118,3
84,3,586,4
85,3,34,3
86,4,203,2
87,4,871,2
88,4,626,3
89,4,16,5
90,4,53,3
91,4,454,2
92,4,946,3
93,4,803,2
94,4,438,2
95,4,13,3
96,4,852,1
97,4,223,1
98,4,911,3
99,4,418,4
100,4,522,2
101,4,259,4
102,4,571,3
103,4,54,2
104,4,960,2
105,4,121,5
106,4,397,3
107,4,995,3
108,4,120,3
109,4,651,3
110,4,84,1
111,4,905,4
112,4,631,2
113,4,266,2
114,4,453,4
115,5,379,1
116,5,297,3
117,5,16,3
118,5,545,5
119,5,259,5
120,5,88,2
121,5,310,1
122,5,94,5
123,5,542,5
124,5,195,5
125,5,350,5
126,5,60,2
127,5,153,3
128,5,152,4
129,5,981,5
130,5,874,2
131,5,693,5
132,5,371,1
133,5,993,3
134,5,229,1
135,5,716,4
136,6,773,1
137,6,629,4
138,6,280,5
139,6,481,5
140,6,780,2
141,6,259,3
142,6,311,4
143,6,909,4
144,6,584,1
145,6,449,4
146,6,403,5
147,6,843,5
148,6,317,3
149,6,748,5
150,6,398,5
151,6,944,3
152,6,758,2
153,6,385,4
154,6,777,5
155,6,402,4
156,6,908,3
157,7,239,5
158,7,669,5
159,7,130,0
160,7,402,3
161,7,503,2
162,7,254,5
163,7,128,4
164,7,124,4
165,7,56,3
166,7,223,3
167,7,546,2
168,7,872,3
169,7,844,4
170,7,764,5
171,7,862,2
172,7,11,2
173,7,600,0
174,7,724,5
175,7,157,5
176,7,29,5
177,7,308,2
178,7,437,1
179,7,352,3
180,7,582,5
181,7,842,4
182,7,848,5
183,7,451,5
184,7,924,2
185,7,527,2
186,7,411,1
187,7,938,4
188,8,227,5
189,8,831,5
190,8,451,4
191,8,783,5
192,8,971,5
193,8,944,2
194,8,655,3
195,8,871,5
196,8,267,5
197,8,631,5
198,8,897,3
199,8,725,2
200,8,414,5
201,8,588,5
202,8,354,1
203,8,828,5
204,8,56,2
205,8,764,2
206,8,573,4
207,8,440,4
208,8,730,5
209,8,41,1
210,8,115,1
211,8,310,5
212,8,229,1
213,8,622,2
214,8,749,2
215,8,541,1
216,8,628,2
217,8,96,3
218,8,772,5
219,8,117,5
220,8,102,3
221,8,702,2
222,8,642,3
223,8,250,3
224,8,677,2
225,8,49,2
226,8,480,5
227,8,968,5
228,8,476,3
229,8,230,5
230,9,233,0
231,9,519,5
232,9,820,2
233,9,124,5
234,9,577,3
235,9,926,5
236,9,759,1
237,9,513,2
238,9,3,3
239,9,749,1
240,9,965,5
241,9,933,5
242,9,185,3
243,9,975,4
244,9,689,1
245,9,339,4
246,9,740,4
247,9,368,2
248,9,18,2
249,9,822,5
250,9,693,5
251,9,153,5
252,9,184,3
253,9,522,3
254,9,777,5
255,9,291,4
256,9,253,5
257,10,55,1
258,10,499,5
259,10,163,1
260,10,637,1
261,10,200,0
262,10,474,5
263,10,587,4
264,10,541,4
265,10,167,2
266,10,680,2
267,10,1,5
268,10,195,4
269,10,37,2
270,10,546,1
271,10,784,1
272,10,595,4
273,10,24,3
274,10,2,2
275,10,36,5
276,10,962,1
277,10,662,5
278,10,649,3
279,10,443,2
280,10,109,2
281,10,896,2
282,11,398,4
283,11,928,4
284,11,272,4
285,11,90,5
286,11,108,4
287,11,296,3
288,11,629,4
289,11,643,0
290,11,33,2
291,11,651,5
292,11,30,3
293,11,715,1
294,11,242,5
295,11,737,2
296,11,727,2
297,11,326,2
298,11,576,3
299,11,209,5
300,11,555,4
301,11,331,2
302,11,813,5
303,11,352,3
304,11,351,2
305,11,595,3
306,12,119,3
307,12,315,4
308,12,497,4
309,12,430,5
310,12,27,5
311,12,582,5
312,12,839,1
313,12,723,3
314,12,435,5
315,12,440,2
316,12,78,3
317,12,64,3
318,12,360,4
319,12,148,5
320,12,358,5
321,12,252,1
322,12,330,5
323,12,962,4
324,12,250,5
325,12,793,2
326,12,686,3
327,12,235,1
328,12,798,4
329,12,681,1
330,12,503,2
331,13,912,3
332,13,95,2
333,13,761,4
334,13,853,3
335,13,964,5
336,13,561,0
337,13,840,5
338,13,115,4
339,13,189,5
340,13,767,5
341,13,819,5
342,13,247,1
343,13,884,1
344,13,851,5
345,13,724,4
346,13,951,2
347,13,275,5
348,13,416,5
349,13,559,1
350,13,48,4
351,13,338,5
352,13,850,2
353,13,831,3
354,14,451,4
355,14,57,5
356,14,700,4
357,14,542,4
358,14,361,4
359,14,389,4
360,14,78,5
361,14,641,1
362,14,166,0
363,14,624,3
364,14,49,4
365,14,561,5
366,14,42,3
367,14,494,2
368,14,446,2
369,14,976,2
370,14,358,4
371,14,65,5
372,14,11,3
373,14,163,2
374,14,523,1
375,14,430,2
376,14,413,4
377,14,956,1
378,14,839,0
379,14,359,3
380,14,295,4
381,14,622,5
382,15,105,5
383,15,66,1
384,15,153,3
385,15,418,2
386,15,329,5
387,15,930,2
388,15,120,3
389,15,256,3
390,15,978,4
391,15,73,5
392,15,336,3
393,15,864,5
394,15,936,3
395,15,901,3
396,15,843,4
397,15,567,4
398,15,706,3
399,15,524,5
400,15,946,5
401,15,995,3
402,15,204,2
403,15,805,3
404,15,324,2
405,15,71,3
406,15,993,1
407,15,179,3
408,15,302,5
409,15,682,5
410,16,586,2
411,16,305,2
412,16,790,5
413,16,122,4
414,16,126,5
415,16,898,3
