,user_id,event_id,going
1,1,4,True
2,1,7,True
3,1,9,False
4,1,17,True
5,1,20,True
6,1,21,True
7,1,26,True
8,1,39,False
9,1,44,False
10,1,58,True
11,1,63,False
12,1,69,True
13,1,79,False
14,1,85,True
15,1,89,False
16,1,93,False
17,1,103,False
18,1,104,True
19,1,107,True
20,1,111,False
21,1,129,False
22,1,135,True
23,1,139,False
24,1,143,False
25,1,151,True
26,1,156,True
27,1,158,False
28,1,168,False
29,1,171,True
30,1,182,True
31,1,186,True
32,1,188,False
33,1,196,True
34,1,207,False
35,1,211,True
36,1,212,True
37,1,214,False
38,1,222,False
39,1,234,True
40,1,237,True
41,1,243,True
42,1,246,True
43,1,249,False
44,1,258,True
45,1,261,False
46,1,269,True
47,1,271,True
48,1,278,False
49,1,282,False
50,1,284,True
51,1,287,False
52,1,290,True
53,1,294,True
54,1,298,True
55,1,307,True
56,1,309,True
57,1,316,True
58,1,319,True
59,1,320,False
60,1,332,False
61,1,334,False
62,1,335,True
63,1,341,False
64,1,342,False
65,1,357,False
66,1,370,False
67,1,375,True
68,1,382,False
69,1,390,False
70,1,394,False
71,1,401,True
72,1,407,False
73,1,417,False
74,1,422,True
75,1,424,False
76,1,427,True
77,1,428,True
78,1,434,True
79,1,444,False
80,1,450,True
81,1,456,True
82,1,457,False
83,1,458,False
84,1,460,False
85,1,463,False
86,1,485,False
87,1,491,False
88,1,492,True
89,1,501,False
90,1,505,True
91,1,507,False
92,1,514,True
93,1,515,True
94,1,517,False
95,1,521,True
96,1,525,True
97,1,526,True
98,1,528,True
99,1,534,False
100,1,535,False
101,1,537,True
102,1,538,True
103,1,539,False
104,1,543,False
105,1,544,False
106,1,551,False
107,1,552,False
108,1,556,True
109,1,560,False
110,1,562,False
111,1,564,True
112,1,569,True
113,1,570,True
114,1,575,True
115,1,581,True
116,1,597,True
117,1,599,False
118,1,601,True
119,1,611,True
120,1,612,True
121,1,615,False
122,1,616,False
123,1,617,True
124,1,619,True
125,1,625,True
126,1,627,False
127,1,636,False
128,1,647,True
129,1,654,True
130,1,659,False
131,1,660,False
132,1,663,False
133,1,664,True
134,1,666,True
135,1,672,False
136,1,673,False
137,1,679,False
138,1,687,True
139,1,694,False
140,1,697,True
141,1,707,False
142,1,710,False
143,1,711,False
144,1,713,False
145,1,717,True
146,1,731,False
147,1,734,False
148,1,738,False
149,1,741,False
150,1,743,True
151,1,744,True
152,1,745,False
153,1,746,True
154,1,747,False
155,1,750,True
156,1,751,False
157,1,762,False
158,1,763,True
159,1,766,False
160,1,769,False
161,1,770,False
162,1,774,True
163,1,778,True
164,1,779,True
165,1,782,False
166,1,785,False
167,1,791,True
168,1,800,True
169,1,801,False
170,1,804,True
171,1,807,False
172,1,808,True
173,1,809,True
174,1,811,True
175,1,815,False
176,1,823,True
177,1,829,True
178,1,834,True
179,1,838,True
180,1,841,True
181,1,845,True
182,1,846,True
183,1,856,True
184,1,860,False
185,1,867,True
186,1,876,False
187,1,877,True
188,1,878,False
189,1,880,False
190,1,882,False
191,1,886,False
192,1,890,True
193,1,894,False
194,1,899,True
195,1,900,True
196,1,902,False
197,1,906,False
198,1,910,True
199,1,918,True
200,1,927,True
201,1,931,True
202,1,932,False
203,1,934,False
204,1,945,False
205,1,948,True
206,1,950,True
207,1,952,False
208,1,953,True
209,1,954,False
210,1,955,True
211,1,959,False
212,1,967,True
213,1,970,True
214,1,977,False
215,1,980,False
216,1,982,False
217,1,983,False
218,1,984,False
219,1,986,True
220,1,989,True
221,1,992,False
222,1,994,True
223,1,996,False
224,1,997,True
225,1,998,True
226,2,4,True
227,2,7,True
228,2,9,False
229,2,17,True
230,2,20,True
231,2,21,False
232,2,26,False
233,2,39,False
234,2,44,False
235,2,58,False
236,2,63,False
237,2,69,True
238,2,79,True
239,2,85,False
240,2,89,False
241,2,93,True
242,2,103,False
243,2,104,False
244,2,107,True
245,2,111,False
246,2,129,True
247,2,135,False
248,2,139,True
249,2,143,False
250,2,151,False
251,2,156,False
252,2,158,False
253,2,168,True
254,2,171,True
255,2,182,False
256,2,186,True
257,2,188,True
258,2,196,False
259,2,207,True
260,2,211,False
261,2,212,True
262,2,214,False
263,2,222,False
264,2,234,False
265,2,237,False
266,2,243,True
267,2,246,False
268,2,249,True
269,2,258,False
270,2,261,False
271,2,269,False
272,2,271,True
273,2,278,True
274,2,282,False
275,2,284,False
276,2,287,False
277,2,290,True
278,2,294,False
279,2,298,False
280,2,307,False
281,2,309,True
282,2,316,False
283,2,319,True
284,2,320,False
285,2,332,True
286,2,334,False
287,2,335,True
288,2,341,False
289,2,342,False
290,2,357,True
